Pais,Cliente,Clasificacion,Orden de compra,No.defactura,Estado de la Factura,fecha de factura,Comercial,Cantidad,Nombre de producto,Precio unitario,Descuento,Costo U,Almacen.0,Almacen.1,Segmento,Total Producto,Monto total,Referencia,Capacidad_a_kwh,Potencia_kw,Potencia_t_mva,Total Potencia kW,Total Potencia de Transformadores MVA,Total Capacidad de almacenamiento kWh,Prefix,Year,Invoice_No,Hora de extracción,Amount,Year Month,Index,Classificacion New,Segmento (Grouped),Comercial (Grouped)
El Salvador,"Green Power, S.A. de C.V.",DG,ON-02105,INV/2023/1834,posted,2023-03-13 00:00:00,Martin Muadi,1,"DTSU666-H, Smart power sensor, three-phase smart meter, 250A",96,0,59.18,1,Neptune - Panamá,DG / Accessories Residential and C&I,96,5873,Stock,0,0,0,0,0,0,INV,2023,1834,2023-11-30 06:13:55,96,2023-03,758,DG,Other,Martin Muadi
El Salvador,Volta Ingenieros Consultores S.A. de C.V.,DG,ON-02103,INV/2023/1831,posted,2023-03-09 00:00:00,Martin Muadi,1,"[SDongleA-05] Inverter external WLAN-FE Dongle, Supporting the communication for 10 devices at most",55,0,39.92,1,Neptune - Panamá,DG / Accessories Residential and C&I,55,5067,Stock,0,0,0,0,0,0,INV,2023,1831,2023-11-30 06:13:57,55,2023-03,729,DG,Other,Martin Muadi
Barbados,Emera Caribbean Renewables Ltd.,DG,ON-02039,INV/2023/1803,posted,2023-02-14 00:00:00,Alejandra Soto,1,SmartLogger3000A01AU Solar Smart Monitor & Data Logger with 4G,481,0,345,1,Neptune - Panamá,DG / Accessories Residential and C&I,481,18020,Stock,0,0,0,0,0,0,INV,2023,1803,2023-11-30 06:14:28,481,2023-02,623,DG,Other,Other
Panama,"TECNIC GROUP, S.A. PANAMA",DG,ON-02038,INV/2023/1784,posted,2023-02-07 00:00:00,Alejandra Soto,1,"[SDongleA-05] Inverter external WLAN-FE Dongle, Supporting the communication for 10 devices at most",48,0,39.92,1,Neptune - Panamá,DG / Accessories Residential and C&I,48,4532,Stock,0,0,0,0,0,0,INV,2023,1784,2023-11-30 06:15:01,48,2023-02,668,DG,Other,Other
El Salvador,Volta Ingenieros Consultores S.A. de C.V.,DG,ON-01939,INV/2022/1741,posted,2022-12-30 00:00:00,Martin Muadi,1,"[SDongleA-05] Inverter external WLAN-FE Dongle, Supporting the communication for 10 devices at most",55,0,39.92,1,Neptune - Panamá,DG / Accessories Residential and C&I,55,10079,Stock,0,0,0,0,0,0,INV,2022,1741,2023-09-28 16:34:59,55,2022-12,217,DG,Other,Martin Muadi
El Salvador,"SSA INGENIEROS, S.A. DE C.V.",DG,ON-01918,INV/2022/1735,posted,2022-12-29 00:00:00,Martin Muadi,1,"[SDongleA-05] Inverter external WLAN-FE Dongle, Supporting the communication for 10 devices at most",112,0,39.92,1,Neptune - Panamá,DG / Accessories Residential and C&I,112,2905,Stock,0,0,0,0,0,0,INV,2022,1735,2023-09-28 16:35:08,112,2022-12,142,DG,Other,Martin Muadi
El Salvador,"Green Power, S.A. de C.V.",DG,ON-01936,INV/2022/1732,posted,2022-12-29 00:00:00,Martin Muadi,1,"DTSU666-H, Smart power sensor, three-phase smart meter, 250A",96,0,59.18,1,Neptune - Panamá,DG / Accessories Residential and C&I,96,96,Stock,0,0,0,0,0,0,INV,2022,1732,2023-09-28 16:35:09,96,2022-12,140,DG,Other,Martin Muadi
El Salvador,"Green Power, S.A. de C.V.",DG,ON-01861,INV/2022/1738,posted,2022-12-29 00:00:00,Martin Muadi,1,"DTSU666-H, Smart power sensor, three-phase smart meter, 250A",96,0,59.18,1,Neptune - Panamá,DG / Accessories Residential and C&I,96,5614,Stock,0,0,0,0,0,0,INV,2022,1738,2023-09-28 16:35:03,96,2022-12,138,DG,Other,Martin Muadi
El Salvador,"Green Power, S.A. de C.V.",DG,ON-01861,INV/2022/1738,posted,2022-12-29 00:00:00,Martin Muadi,1,SmartLogger3000A01AU Solar Smart Monitor & Data Logger with 4G,506,0,376.36,1,Neptune - Panamá,DG / Accessories Residential and C&I,506,5614,Stock,0,0,0,0,0,0,INV,2022,1738,2023-09-28 16:35:02,506,2022-12,137,DG,Other,Martin Muadi
Barbados,Prosolar 246 Inc.,DG,ON-01934,INV/2022/1727,posted,2022-12-28 00:00:00,Alejandra Soto,1,"[SDongleA-05] Inverter external WLAN-FE Dongle, Supporting the communication for 10 devices at most",106,0,39.92,1,Neptune - Panamá,DG / Accessories Residential and C&I,106,106,Stock,0,0,0,0,0,0,INV,2022,1727,2023-09-28 16:35:14,106,2022-12,143,DG,Other,Other
Curaçao,Critech Solutions BV,DG,ON-01928,INV/2022/1721,posted,2022-12-22 00:00:00,Alejandra Soto,1,SmartLogger3000A01AU Solar Smart Monitor & Data Logger with 4G,427,0,376.36,1,Neptune - Panamá,DG / Accessories Residential and C&I,427,477,Stock,0,0,0,0,0,0,INV,2022,1721,2023-09-28 16:35:25,427,2022-12,150,DG,Other,Other
Nicaragua,INVERSIONES KOMP S.A.,DG,ON-00967,INV/2022/1690,posted,2022-12-06 00:00:00,Dorian Flores,1,"DTSU666-H, Smart power sensor, three-phase smart meter, 250A",98,0,59.18,1,Neptune - Panamá,DG / Accessories Residential and C&I,98,2643,Stock,0,0,0,0,0,0,INV,2022,1690,2023-09-28 16:36:10,98,2022-12,124,DG,Other,Other
Nicaragua,INVERSIONES KOMP S.A.,DG,ON-01799,INV/2022/1694,posted,2022-12-06 00:00:00,Dorian Flores,1,"[SDongleA-05] Inverter external WLAN-FE Dongle, Supporting the communication for 10 devices at most",106,0,39.92,1,Neptune - Panamá,DG / Accessories Residential and C&I,106,1197,Stock,0,0,0,0,0,0,INV,2022,1694,2023-09-28 16:36:04,106,2022-12,116,DG,Other,Other
