Pais,Cliente,Clasificacion,Orden de compra,No.defactura,Estado de la Factura,fecha de factura,Comercial,Cantidad,Nombre de producto,Precio unitario,Descuento,Costo U,Almacen.0,Almacen.1,Segmento,Total Producto,Monto total,Referencia,Capacidad_a_kwh,Potencia_kw,Potencia_t_mva,Total Potencia kW,Total Potencia de Transformadores MVA,Total Capacidad de almacenamiento kWh,Prefix,Year,Invoice_No,Hora de extracción,Amount,Year Month,Index,Classificacion New,Segmento (Grouped),Comercial (Grouped)
Spain,"Aplicaciones Tecnicas de la Energia, S.L.",Utility Scale,ON-00127,INV/2021/1286,posted,2021-11-29 00:00:00,Guillermo Antonio Contreras Aguirre,1,Commissioning,7000,0,7000,1,Neptune - Panamá,Utility Scale / STS / Services,7000,13422.5,PO 3093,0,0,0,0,0,0,INV,2021,1286,2023-09-28 16:27:54,7000,2021-11,2128,Utility Scale,Other,Other
Spain,"Aplicaciones Tecnicas de la Energia, S.L.",Utility Scale,ON-00127,INV/2021/1286,posted,2021-11-29 00:00:00,Guillermo Antonio Contreras Aguirre,1,SmartACU2000B-D-PLC,3134,0,2569.6,1,Neptune - Panamá,Utility Scale / Monitoring,3134,13422.5,PO 3093,0,0,0,0,0,0,INV,2021,1286,2023-09-28 16:27:53,3134,2021-11,1975,Utility Scale,Other,Other
Spain,"Aplicaciones Tecnicas de la Energia, S.L.",Utility Scale,ON-00127,INV/2021/1190,posted,2021-06-18 00:00:00,Guillermo Antonio Contreras Aguirre,1,Anticipo de Clientes,120802.5,0,0,1,Neptune - Panamá,Utility Scale / Orden Parcial,120802.5,120802.5,PO 3093,0,0,0,0,0,0,INV,2021,1190,2023-09-28 16:31:42,120802.5,2021-06,2045,Utility Scale,Utility Scale / Orden Parcial,Other
El Salvador,Indasa S.A. de C.V.,DG,ON-02540,NC/2023/0037,posted,2023-07-25 00:00:00,Martin Muadi,1,Equipo para demostración,622,0,0,1,Neptune - Panamá,Others / Notas de Crédito,622,-622,Reversión de: INV/2023/2010,0,0,0,0,0,0,NC,2023,37,2023-11-30 06:05:07,-622,2023-07,1224,DG,Other,Martin Muadi
El Salvador,Comercializadora de Energia Electrica San Rafael S.A. de C.V.,DG,ON-02439,NC/2023/0034,posted,2023-06-30 00:00:00,Martin Muadi,1,SmartLogger3000A01AU Solar Smart Monitor & Data Logger with 4G,549.43,0,345,1,Neptune - Panamá,DG / Accessories Residential and C&I,549.43,-9801.25,"Reversión de: INV/2023/1986, INV/2023/1986 Cliente R & S Solar Ref ON-02439",0,0,0,0,0,0,NC,2023,34,2023-11-30 06:06:40,-549.43,2023-06,742,DG,Other,Martin Muadi
El Salvador,Comercializadora de Energia Electrica San Rafael S.A. de C.V.,DG,ON-02438,NC/2023/0035,posted,2023-06-30 00:00:00,Martin Muadi,1,SmartLogger3000A01AU Solar Smart Monitor & Data Logger with 4G,548.75,0,345,1,Neptune - Panamá,DG / Accessories Residential and C&I,548.75,-35841.8,"Reversión de: INV/2023/1987, Cliente R & S Solar Ref ON-02438",0,0,0,0,0,0,NC,2023,35,2023-11-30 06:06:39,-548.75,2023-06,740,DG,Other,Martin Muadi
El Salvador,"Potenza, S.A. de C.V.",Utility Scale,ON-02094,NC/2023/0027,posted,2023-05-25 00:00:00,Raul Davila,1,Commissioning,1087.5,0,7000,1,Neptune - Panamá,Utility Scale / STS / Services,1087.5,-1087.5,"Reversión de: INV/2023/1895, Se reversa el 25% del valor de la factura",0,0,0,0,0,0,NC,2023,27,2023-11-30 06:09:13,-1087.5,2023-05,2138,Utility Scale,Other,Other
El Salvador,"Potenza, S.A. de C.V.",Utility Scale,ON-02094,NC/2023/0023,posted,2023-05-09 00:00:00,Raul Davila,1,Commissioning,4350,0,7000,1,Neptune - Panamá,Utility Scale / STS / Services,4350,-4350,"Reversión de: INV/2023/1819, Se emitirá una factura nueva con 25% de ISR +",0,0,0,0,0,0,NC,2023,23,2023-11-30 06:10:24,-4350,2023-05,2139,Utility Scale,Other,Other
Guatemala,"Cenit, S.A.",Utility Scale,ON-01023,NC/2023/0022,posted,2023-04-30 00:00:00,Francisco Asturias,1,Commissioning,8750,0,7000,1,Neptune - Panamá,Utility Scale / STS / Services,8750,-8750,"Reversión de: INV/2023/1871, Ya no procede, Erick autorizó que ON, S.A facture a Cenit",0,0,0,0,0,0,NC,2023,22,2023-11-30 06:10:35,-8750,2023-04,2135,Utility Scale,Other,Francisco Asturias
Panama,Panasolar Green Energy Corp.,DG,false,NC/2022/0091,posted,2022-12-31 00:00:00,Dina Marlene López Roldán,1,Descuentos Sobre Ventas,7337.07,0,0,1,Neptune - Panamá,Others / Notas de Crédito,7337.07,-7337.07,false,0,0,0,0,0,0,NC,2022,91,2023-09-28 16:34:46,-7337.07,2022-12,1247,DG,Other,Other
El Salvador,"Potenza, S.A. de C.V.",DG,false,NC/2022/0087,posted,2022-12-30 00:00:00,Stephany Moran,1,Commissioning,280,0,7000,1,Neptune - Panamá,Utility Scale / STS / Services,280,-280,false,0,0,0,0,0,0,NC,2022,87,2023-09-28 16:34:50,-280,2022-12,2132,Utility Scale,Other,Other
Guatemala,"Operadores Nacionales, S.A.",DG,false,NC/2022/0083,posted,2022-12-30 00:00:00,Dina Marlene López Roldán,1,Descuentos Sobre Ventas,16542.84,0,0,1,Neptune - Panamá,Others / Notas de Crédito,16542.84,-16542.84,false,0,0,0,0,0,0,NC,2022,83,2023-09-28 16:34:52,-16542.84,2022-12,1238,DG,Other,Other
Guatemala,"Operadores Nacionales, S.A.",DG,false,NC/2022/0081,posted,2022-11-29 00:00:00,Dina Marlene López Roldán,1,Descuentos Sobre Ventas,7303.25,0,0,1,Neptune - Panamá,Others / Notas de Crédito,7303.25,-7303.25,false,0,0,0,0,0,0,NC,2022,81,2023-09-28 16:36:20,-7303.25,2022-11,1245,DG,Other,Other
Guatemala,"Operadores Nacionales, S.A.",DG,false,NC/2022/0078,posted,2022-10-31 00:00:00,Dina Marlene López Roldán,1,Descuentos Sobre Ventas,23455.81,0,0,1,Neptune - Panamá,Others / Notas de Crédito,23455.81,-23455.81,false,0,0,0,0,0,0,NC,2022,78,2023-09-28 16:37:21,-23455.81,2022-10,1222,DG,Other,Other
